experiment,description,result_original,git_branch,git_commit,mapping_confidence,config_file,run_directory,flow_status,failure_stage,clock_ns,synthesis_cells,synthesis_area_um2,setup_wns_ns,setup_tns_ns,hold_wns_ns,hold_tns_ns,standard_cells,instance_area_um2,core_area_um2,power_mw,wire_length_um,timing_buffers,hold_buffers,antenna_diodes,slew_violations,cap_violations,fanout_violations,antenna_nets,antenna_pins,worst_antenna_pr,route_drc,magic_drc,klayout_drc,lvs_errors,runtime_seconds,openlane_version,openroad_version,pdk_version,power_method,notes,timing_pass,physical_verification_pass,compatibility_patch,power_corner,power_activity,thread_count
0,serial one-MAC reference baseline,reference pass,agent/add-openlane-signoff-config,372a29d,high,openlane/config.json,/home/pmoin/asic/markov-monkeys/openlane/reruns/full_metrics/exp00/RERUN_FULL_EXP00,complete,,17,4575,61388.8768,0.434967629781467,0,0.10145184979259368,0,17727,99793.2,339526,6.290971767157316,344879,2891,1112,5,80,0,732,0,0,,0,0,0,0,403.946,2.3.10,edf00dff99f6c40d67a30c0e22a8191c5d2ed9d6,open_pdks 0fe599b2afb6708d281543108caf8310912f54af,OpenROAD report_power after post-route extraction,,True,True,,max_ff_n40C_1v95,OpenROAD vectorless defaults,8
1,initial N-lane parallel architecture,synthesis-only; continued,parallel-core,e8d7349,medium,project::results/full_metrics/reconstructed_parallel_initial_config.json,/home/pmoin/asic/markov-monkeys/openlane/reruns/full_metrics/exp01/RERUN_FULL_EXP01,complete,,17,,,-0.7641905102796108,-4.290397492050525,0.09390088972165486,0,25516,151488,339526,9.146531112492085,550736,3950,1428,9,248,0,1023,0,0,8.04,0,0,0,0,597.052,2.3.10,edf00dff99f6c40d67a30c0e22a8191c5d2ed9d6,open_pdks 0fe599b2afb6708d281543108caf8310912f54af,OpenROAD report_power after post-route extraction,,False,True,resume preserved archived synthesis because exact pre-commit RTL was not committed,max_ff_n40C_1v95,OpenROAD vectorless defaults,8
2,initial parallel pre-PnR baseline with shared feed-index/reset distribution,rejected for setup,parallel-core,e8d7349,low,project::results/full_metrics/reconstructed_parallel_initial_config.json,/home/pmoin/asic/markov-monkeys/openlane/reruns/full_metrics/exp02/RERUN_FULL_EXP02,complete,,17,,,-0.7641905102796108,-4.290397492050525,0.09390088972165486,0,25516,151488,339526,9.146531112492085,550736,3950,1428,9,248,0,1023,0,0,8.04,0,0,0,0,599.778,2.3.10,edf00dff99f6c40d67a30c0e22a8191c5d2ed9d6,open_pdks 0fe599b2afb6708d281543108caf8310912f54af,OpenROAD report_power after post-route extraction,,False,True,resume preserved archived synthesis because exact RTL was not committed,max_ff_n40C_1v95,OpenROAD vectorless defaults,8
3,local per-lane feed-index distribution registers,kept architecture,parallel-core,e8d7349,high,project::results/full_metrics/reconstructed_parallel_initial_config.json,/home/pmoin/asic/markov-monkeys/openlane/reruns/full_metrics/exp03/RERUN_FULL_EXP03,complete,,17,,,0.5093188237541992,0,0.10337742066096242,0,25748,156920,339526,13.012542389333248,542207,3934,1304,33,175,4,925,2,2,6.14,0,0,0,0,588.02,2.3.10,edf00dff99f6c40d67a30c0e22a8191c5d2ed9d6,open_pdks 0fe599b2afb6708d281543108caf8310912f54af,OpenROAD report_power after post-route extraction,,True,False,resume preserved archived synthesis state,max_ff_n40C_1v95,OpenROAD vectorless defaults,8
4,local synchronous reset distribution without retained feed-index change,rejected in isolation,parallel-core,e8d7349,low,project::results/full_metrics/reconstructed_parallel_initial_config.json,/home/pmoin/asic/markov-monkeys/openlane/reruns/full_metrics/exp04/RERUN_FULL_EXP04,complete,,17,,,0.0739301973898878,0,0.09060319417834557,0,24923,149181,339526,8.588848635554314,520494,3806,1404,7,156,1,923,1,1,5.71,0,0,0,0,573.61,2.3.10,edf00dff99f6c40d67a30c0e22a8191c5d2ed9d6,open_pdks 0fe599b2afb6708d281543108caf8310912f54af,OpenROAD report_power after post-route extraction,,True,False,resume preserved archived synthesis because exact RTL was not committed,max_ff_n40C_1v95,OpenROAD vectorless defaults,8
5,first full N-lane parallel flow,rejected electrical and antenna,parallel-core,e8d7349,high,project::results/full_metrics/reconstructed_parallel_initial_config.json,/home/pmoin/asic/markov-monkeys/openlane/reruns/full_metrics/exp05/RERUN_FULL_EXP05,complete,,17,9965,116435.4208,0.5093188237541992,0,0.10337742066096242,0,25748,156920,339526,13.012542389333248,542207,3934,1304,33,175,4,925,2,2,1.11,0,0,0,0,626.406,2.3.10,edf00dff99f6c40d67a30c0e22a8191c5d2ed9d6,open_pdks 0fe599b2afb6708d281543108caf8310912f54af,OpenROAD report_power after post-route extraction,,True,False,reconstructed original 10-iteration config because config.json was later updated,max_ff_n40C_1v95,OpenROAD vectorless defaults,8
6,post-global-routing design repair,rejected; antenna worsened,parallel-core,e8d7349,high,openlane/config_parallel_exp02.json,/home/pmoin/asic/markov-monkeys/openlane/reruns/full_metrics/exp06/RERUN_FULL_EXP06,complete,,17,9965,116435.4208,0.5380585018716696,0,0.10308199030575432,0,25749,156933,339526,13.000315986573696,542052,3937,1304,31,173,3,923,5,5,6.14,0,0,0,0,638.864,2.3.10,edf00dff99f6c40d67a30c0e22a8191c5d2ed9d6,open_pdks 0fe599b2afb6708d281543108caf8310912f54af,OpenROAD report_power after post-route extraction,,True,False,,max_ff_n40C_1v95,OpenROAD vectorless defaults,8
7,tighter electrical repair and increased antenna repair,rejected antenna and capacitance,parallel-core,e8d7349,high,openlane/config_parallel_exp03.json,/home/pmoin/asic/markov-monkeys/openlane/reruns/full_metrics/exp07/RERUN_FULL_EXP07,complete,,17,9965,116435.4208,0.33187320497748524,0,0.08679401887312582,0,26137,158055,339526,12.996437028050423,543182,4243,1303,117,34,2,928,3,3,1.24,0,0,0,0,613.002,2.3.10,edf00dff99f6c40d67a30c0e22a8191c5d2ed9d6,open_pdks 0fe599b2afb6708d281543108caf8310912f54af,OpenROAD report_power after post-route extraction,,True,False,,max_ff_n40C_1v95,OpenROAD vectorless defaults,8
8,lower heuristic antenna threshold and diode padding,rejected setup/electrical/antenna,parallel-core,e8d7349,high,openlane/config_parallel_exp04.json,/home/pmoin/asic/markov-monkeys/openlane/reruns/full_metrics/exp08/RERUN_FULL_EXP08,complete,,17,9965,116435.4208,-0.3927525082991949,-2.1907667411367284,0.08507184086862075,0,32984,175189,339526,13.821071945130825,610017,4243,1303,26,499,3,1742,3,3,2.49,0,0,0,0,729.554,2.3.10,edf00dff99f6c40d67a30c0e22a8191c5d2ed9d6,open_pdks 0fe599b2afb6708d281543108caf8310912f54af,OpenROAD report_power after post-route extraction,,False,False,,max_ff_n40C_1v95,OpenROAD vectorless defaults,8
9,heuristic diode insertion disabled,rejected severe antenna,parallel-core,e8d7349,high,openlane/config_parallel_exp05.json,/home/pmoin/asic/markov-monkeys/openlane/reruns/full_metrics/exp09/RERUN_FULL_EXP09,complete,,17,9965,116435.4208,1.2575771890906373,0,0.10002288169718467,0,19827,142265,339526,12.738857418298721,528906,4243,1303,380,21,0,210,30,34,3.2,0,0,0,0,573.298,2.3.10,edf00dff99f6c40d67a30c0e22a8191c5d2ed9d6,open_pdks 0fe599b2afb6708d281543108caf8310912f54af,OpenROAD report_power after post-route extraction,,True,False,,max_ff_n40C_1v95,OpenROAD vectorless defaults,8
10,two antenna-repair iterations,selected parallel candidate,parallel-core,e8d7349,high,openlane/config_parallel_exp06.json,/home/pmoin/asic/markov-monkeys/openlane/reruns/full_metrics/exp10/RERUN_FULL_EXP10,complete,,17,9965,116435.4208,0.5413838419690739,0,0.08585921105995327,0,26037,157805,339526,12.989806942641735,542415,4243,1303,17,22,2,923,2,2,1.08,0,0,0,0,592.027,2.3.10,edf00dff99f6c40d67a30c0e22a8191c5d2ed9d6,open_pdks 0fe599b2afb6708d281543108caf8310912f54af,OpenROAD report_power after post-route extraction,,True,False,,max_ff_n40C_1v95,OpenROAD vectorless defaults,8
11,two antenna iterations with 40 percent margin,rejected antenna worsened,parallel-core,e8d7349,high,openlane/config_parallel_exp07.json,/home/pmoin/asic/markov-monkeys/openlane/reruns/full_metrics/exp11/RERUN_FULL_EXP11,complete,,17,9965,116435.4208,0.47227112446388714,0,0.08796841282178844,0,26042,157818,339526,12.988896109163761,542842,4243,1303,22,24,2,923,4,4,1.35,0,0,0,0,636.926,2.3.10,edf00dff99f6c40d67a30c0e22a8191c5d2ed9d6,open_pdks 0fe599b2afb6708d281543108caf8310912f54af,OpenROAD report_power after post-route extraction,,True,False,,max_ff_n40C_1v95,OpenROAD vectorless defaults,8
