experiment,config,run,conceptual_change,clock_ns,setup_wns_ns,setup_tns_ns,hold_wns_ns,hold_tns_ns,max_slew,max_cap,antenna_nets,antenna_pins,worst_antenna_pr,route_drc,magic_drc,klayout_drc,lvs,power_w,core_area_um2,instance_area_um2,stdcells,timing_buffers,antenna_diodes,wirelength_um,decision
serial_baseline,pre-existing,openlane/runs/RUN_2026-07-28_14-16-12,one-MAC integrated baseline,17,0.4350,0,0.1015,0,80,0,0,0,0,0,0,0,0,0.006290971767,339526,99793.2,17727,2891,5,344879,reference pass
parallel_01,openlane/config.json,runs/RUN_CODEX_PAR_FULL01_2026-07-28,N-lane parallel starting point,17,0.5093,0,0.1034,0,175,4,2,2,1.11,0,0,0,0,0.013012542389,339526,156920,25748,3934,33,542207,reject electrical and antenna
parallel_02,openlane/config_parallel_exp02.json,runs/RUN_CODEX_PAR_FULL02_POSTGRT_2026-07-28,enable post-GRT design repair,17,0.5381,0,0.1031,0,173,3,5,5,1.47,0,0,0,0,0.013000315987,339526,156933,25749,3937,31,542052,reject antenna worse
parallel_03,openlane/config_parallel_exp03.json,runs/RUN_CODEX_PAR_FULL03_ELECANT_2026-07-28,tighter pre-route electrical and aggressive antenna repair,17,0.3319,0,0.0868,0,34,2,3,3,1.24,0,0,0,0,0.012996437028,339526,158055,26137,4243,117,543182,reject antenna and cap
parallel_04,openlane/config_parallel_exp04.json,runs/RUN_CODEX_PAR_FULL04_ANTPAD_2026-07-28,lower heuristic threshold and diode padding,17,-0.3928,-2.1908,0.0851,0,499,3,3,3,2.49,0,0,0,0,0.013821071945,339526,175189,32984,4243,26,610017,reject setup electrical and antenna
parallel_05,openlane/config_parallel_exp05.json,runs/RUN_CODEX_PAR_FULL05_NOHEUR_2026-07-28,disable heuristic diode insertion,17,1.2576,0,0.1000,0,21,0,30,34,3.20,0,0,0,0,0.012738857418,339526,142265,19827,4243,380,528906,reject severe antenna
parallel_06,openlane/config_parallel_exp06.json,runs/RUN_CODEX_PAR_FULL06_TWOITER_2026-07-28,limit antenna repair to two productive iterations,17,0.5414,0,0.0859,0,22,2,2,2,1.08,0,0,0,0,0.012989806943,339526,157805,26037,4243,17,542415,selected best parallel but not full signoff
parallel_07,openlane/config_parallel_exp07.json,runs/RUN_CODEX_PAR_FULL07_MARGIN40_2026-07-28,increase two-iteration antenna margin to 40 percent,17,0.4723,0,0.0880,0,24,2,4,4,1.35,0,0,0,0,0.012988896109,339526,157818,26042,4243,22,542842,reject antenna worse
parallel_08,openlane/config_parallel_exp08.json,runs/RUN_CODEX_PAR_FULL08_ONEITER_2026-07-28,reduce antenna repair to one iteration,17,0.4842,0,0.0869,0,32,3,2,2,1.17,0,0,0,0,0.012991228141,339526,157798,26034,4243,14,542677,reject cap and antenna ratios worse
convergence_pre_09,openlane/config_converge_exp09.json,runs/RUN_CODEX_CONV_PREPNR11_2026-07-29,unregistered subtract-absolute-compare convergence path,17,-9.1549,-17.7356,0.0227,0,4751,21,,,,,,,,,,118688.8,10479,,,,"reject architectural setup failure"
convergence_pipe_09,openlane/config_converge_exp09.json,runs/RUN_CODEX_CONV_PREPNR13_TOLREG_2026-07-29,register comparison operands and tolerance with parallel bounds,17,1.8365,0,0.0227,0,5133,18,,,,,,,,,,123452.2,10730,,,,"keep RTL; setup fixed without latency increase"
convergence_full_09,openlane/config_converge_exp09.json,runs/RUN_CODEX_CONV_FULL09_2026-07-29,pipelined convergence top with selected physical baseline,17,0.7621,0,0.1072,0,55,0,4,4,1.31,0,0,0,0,0.010211721063,339526,167623,27661,1359,12,577559,"selected near-clean; cap zero, remaining slew and antenna"
convergence_ant_10,openlane/config_converge_exp10.json,runs/RUN_CODEX_CONV_ANT10_2026-07-29,increase antenna repair ceiling from 2 to 3,17,0.8403,0,0.1070,0,50,0,6,6,1.75,0,0,0,0,0.010208597407,339526,167626,27662,1359,13,577401,"reject antenna worsened"
convergence_slew_11,openlane/config_converge_exp11.json,runs/RUN_CODEX_CONV_FULL11_SLEW30_2026-07-29,tighten pre-route slew target from 50 to 30 percent,17,0.6142,0,0.1049,0,180,0,5,5,1.66,0,0,0,0,0.010223824531,339526,166893,27398,1361,10,576981,"reject slew and antenna worsened"
